identifier,title,field,year,areaType,areaCode,datum,zipFileUrl,zipFileSize,zipfile_name
A33,土砂災害警戒区域,政策区域,2018,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A33/A33-18/A33-18_00_GML.zip,739MB,A33-18_00_GML.zip
A34,世界文化遺産,地域,2015,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-15/A34-150302_GML.zip,0.64MB,A34-150302_GML.zip
A34,世界文化遺産,地域,2017,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-17/A34-180316_GML.zip,1.68MB,A34-180316_GML.zip
A35a,景観計画区域,政策区域,2014,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A35a/A35a-14/A35a-14_01_GML.zip,12.45MB,A35a-14_01_GML.zip
A35b,景観地区・準景観地区,政策区域,2014,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A35b/A35b-14/A35b-14_01_GML.zip,0.06MB,A35b-14_01_GML.zip
A35c,景観重要建造物・樹木,政策区域,2014,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A35c/A35c-14/A35c-14_01_GML.zip,0.01MB,A35c-14_01_GML.zip
A37,半島循環道路,政策区域,2015,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A37/A37-15/A37-15_01_GML.zip,6.69MB,A37-15_01_GML.zip
A38,医療圏,政策区域,2014,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A38/A38-14/A38-14_GML.zip,194.82MB,A38-14_GML.zip
A39,密集市街地,政策区域,2015,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A39/A39-15/A39-15_GML.zip,0.26MB,A39-15_GML.zip
A40,津波浸水想定,政策区域,2016,3,2,1,http://nlftp.mlit.go.jp/ksj/gml/data/A40/A40-16/A40-16_02_GML.zip,22.80MB,A40-16_02_GML.zip
A40,津波浸水想定,政策区域,2017,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A40/A40-17/A40-17_01_GML.zip,41.69MB,A40-17_01_GML.zip
A40,津波浸水想定,政策区域,2018,3,28,1,http://nlftp.mlit.go.jp/ksj/gml/data/A40/A40-18/A40-18_28_GML.zip,2.51MB,A40-18_28_GML.zip
A42,歴史的風土保存区域,政策区域,2018,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A42/A42-18/A42-18_GML.zip,2.71MB,A42-18_GML.zip
A43,伝統的建造物群保存地区,政策区域,2018,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A43/A43-18/A43-18_GML.zip,0.85MB,A43-18_GML.zip
A44,歴史的風致維持向上計画の重点地区,政策区域,2018,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A44/A44-18/A44-18_GML.zip,1.16MB,A44-18_GML.zip
C02,港湾,交通,2006,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C02/C02-06/C02-06_GML.zip,0.63MB,C02-06_GML.zip
C02,港湾,交通,2008,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C02/C02-08/C02-08_GML.zip,0.62MB,C02-08_GML.zip
C02,港湾,交通,2014,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C02/C02-14/C02-14_GML.zip,0.61MB,C02-14_GML.zip
C09,漁港,交通,2006,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C09/C09-06/C09-06_GML.zip,1.16MB,C09-06_GML.zip
C23,海岸線,国土（水・土地）,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/C23/C23-06/C23-06_01_GML.zip,5.55MB,C23-06_01_GML.zip
C28,空港,交通,2004,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-04/C28-04_GML.zip,0.17MB,C28-04_GML.zip
C28,空港,交通,2007,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-07/C28-07_GML.zip,0.18MB,C28-07_GML.zip
C28,空港,交通,2011,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-11/C28-11_GML.zip,0.18MB,C28-11_GML.zip
C28,空港,交通,2012,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-12/C28-12_GML.zip,0.20MB,C28-12_GML.zip
C28,空港,交通,2013,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-13/C28-13.zip,0.21MB,C28-13.zip
C28,空港,交通,2014,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-14/C28-14_GML.zip,0.23MB,C28-14_GML.zip
C28,空港,交通,2015,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-15/C28-15_GML.zip,0.22MB,C28-15_GML.zip
C28,空港,交通,2016,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-16/C28-16_GML.zip,0.32MB,C28-16_GML.zip
C28,空港,交通,2017,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-17/C28-17_GML.zip,0.36MB,C28-17_GML.zip
C28,空港,交通,2018,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-18/C28-18_GML.zip,0.33MB,C28-18_GML.zip
G02,平年値メッシュ,政策区域,2012,4,3622,1,http://nlftp.mlit.go.jp/ksj/gml/data/G02/G02-12/G02-12_3622-jgd_GML.zip,0.01MB,G02-12_3622-jgd_GML.zip
